id,date_in,date_out,name,type,breed,color,age_out,outcome_type,intake_type,intake_condition,sex_upon_intake,age_in,outcome_subtype,sex_upon_outcome
A639948,2017-08-22,2017-09-03,Shieba,Dog,Boxer Mix,Mixed,Adult,Adopted,Owner Surrender,Normal,Spayed Female,5 years,NA,Spayed Female
A696133,2015-01-30,2015-01-31,Sella,Dog,Pug Mix,Brown,Adult,Transferred,Owner Surrender,Normal,Spayed Female,8 years,Partner,Spayed Female
A665277,2013-10-15,2013-10-19,Coco,Dog,Rat Terrier Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,1 month,NA,Spayed Female
A747214,2017-04-16,2017-04-16,Kovu,Dog,German Shepherd,Cream,Baby,Returned to Owner,Stray,Normal,Intact Male,7 months,NA,Intact Male
A667538,2013-11-19,2013-12-28,Goldie,Dog,Chihuahua Shorthair/Dachshund,Brown,Young,Adopted,Owner Surrender,Injured,Intact Male,1 year,NA,Neutered Male
A737445,2016-10-28,2016-10-29,N/A,Cat,Domestic Shorthair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,1 year,SCRP,Intact Female
A667558,2013-11-19,2013-11-23,Cindy,Dog,Cardigan Welsh Corgi Mix,Mixed,Adult,Transferred,Owner Surrender,Normal,Spayed Female,7 years,Partner,Spayed Female
A781793,2018-10-05,2018-10-09,Arrow,Dog,Dachshund/Chihuahua Shorthair,Red,Young,Adopted,Stray,Normal,Intact Male,11 months,NA,Intact Male
A663411,2014-02-01,2014-02-02,Daisy,Dog,American Staffordshire Terrier Mix,Mixed,Young,Returned to Owner,Stray,Normal,Spayed Female,1 year,NA,Spayed Female
A677570,2014-04-26,2014-04-26,N/A,Cat,Domestic Medium Hair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,2 weeks,Partner,Intact Female
A699337,2015-03-25,2015-03-25,Deja,Dog,Jack Russell Terrier Mix,White,Adult,Returned to Owner,Stray,Normal,Spayed Female,8 years,NA,Spayed Female
A678805,2014-05-13,2014-05-16,N/A,Dog,Pomeranian,Red,Young,Transferred,Stray,Aged,Neutered Male,12 years,Partner,Neutered Male
A665007,2013-10-12,2013-10-16,Dexter,Dog,Australian Shepherd Mix,Cream,Baby,Adopted,Stray,Normal,Intact Male,5 months,NA,Neutered Male
A691949,2014-11-12,2014-11-16,Hubert,Dog,Bloodhound,Red,Baby,Transferred,Stray,Normal,Intact Male,4 months,Partner,Intact Male
A727543,2016-05-23,2016-05-25,Trixie,Dog,Beagle Mix,Mixed,Adult,Adopted,Owner Surrender,Normal,Intact Female,4 years,NA,Spayed Female
A701658,2015-05-02,2015-05-02,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,3 weeks,Partner,Intact Female
A670214,2014-01-03,2014-01-12,Bella,Dog,Pointer Mix,Black,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A714651,2015-10-26,2015-11-05,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,1 month,Partner,Intact Male
A503709,2015-07-13,2015-07-13,Brooklyn,Dog,Border Collie Mix,White,Adult,Returned to Owner,Stray,Normal,Spayed Female,7 years,NA,Spayed Female
A773691,2018-06-04,2018-06-08,N/A,Other,Parakeet Mix,White,Adult,Adopted,Wildlife,Normal,Intact Female,3 years,NA,Intact Female
A783395,2018-10-30,2018-11-03,Logan,Dog,Toy Poodle Mix,White,Adult,Transferred,Stray,Normal,Intact Male,3 years,Partner,Intact Male
A748933,2017-05-08,2017-07-01,Cameron,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Intact Male,1 month,Foster,Neutered Male
A665446,2013-10-18,2013-10-25,Dexter,Cat,Domestic Shorthair Mix,Black,Young,Transferred,Stray,Normal,Neutered Male,2 years,Partner,Neutered Male
A689446,2014-10-04,2014-11-15,Dizzy,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,3 weeks,NA,Spayed Female
A757685,2017-09-05,2017-09-06,Buddy,Dog,American Eskimo Mix,White,Adult,Returned to Owner,Stray,Normal,Neutered Male,16 years,NA,Neutered Male
A543749,2016-03-04,2016-03-04,Bella,Dog,Basset Hound,Mixed,Adult,Returned to Owner,Stray,Normal,Spayed Female,8 years,NA,Spayed Female
A672443,2014-02-10,2014-02-14,Maggie,Dog,Rat Terrier Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,2 months,NA,Spayed Female
A686901,2014-08-30,2014-09-06,Ginger,Dog,Shih Tzu Mix,White,Young,Returned to Owner,Public Assist,Normal,Intact Female,1 year,NA,Intact Female
A717913,2016-12-18,2016-12-21,Vega,Dog,Labrador Retriever/German Shepherd,Black,Young,Adopted,Owner Surrender,Normal,Spayed Female,1 year,NA,Spayed Female
A711169,2018-03-14,2018-03-15,Beyonce,Dog,American Pit Bull Terrier Mix,Cream,Adult,Returned to Owner,Stray,Normal,Spayed Female,4 years,NA,Spayed Female
A677036,2014-04-18,2014-04-24,Bentley,Dog,Miniature Schnauzer Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,10 months,NA,Neutered Male
A773251,2018-10-22,2018-11-15,Mike,Dog,Pit Bull Mix,White,Young,Transferred,Stray,Normal,Intact Male,2 years,Partner,Intact Male
A683665,2014-07-13,2014-08-27,N/A,Cat,Domestic Shorthair Mix,White,Baby,Adopted,Stray,Normal,Intact Male,3 weeks,Foster,Neutered Male
A775543,2018-07-09,2018-07-12,Junior,Dog,Bruss Griffon Mix,White,Adult,Transferred,Owner Surrender,Normal,Neutered Male,7 years,Partner,Neutered Male
A713422,2015-10-06,2015-10-06,N/A,Cat,Domestic Shorthair Mix,Mixed,Adult,Deceased,Stray,Sick,Neutered Male,8 years,NA,Neutered Male
A677676,2014-04-27,2014-05-06,N/A,Other,Bantam Mix,White,Young,Adopted,Stray,Normal,Intact Male,2 years,NA,Intact Male
A747904,2017-04-26,2017-04-28,Cleche,Dog,Pit Bull Mix,Mixed,Adult,Returned to Owner,Stray,Normal,Intact Female,13 years,NA,Intact Female
A750176,2017-05-23,2017-05-24,Chewy,Dog,Pug/Beagle,Red,Young,Returned to Owner,Stray,Normal,Neutered Male,2 years,NA,Neutered Male
A251268,2018-01-27,2018-01-29,Sully,Cat,Domestic Shorthair Mix,Black,Adult,Returned to Owner,Stray,Normal,Neutered Male,17 years,NA,Neutered Male
A809895,2019-12-03,2019-12-04,Clara Bell,Dog,Great Pyrenees,Yellow,Young,Transferred,Owner Surrender,Normal,Spayed Female,2 years,Partner,Spayed Female
A796246,2019-05-30,2019-06-01,N/A,Cat,Domestic Shorthair,Mixed,Baby,Transferred,Stray,Normal,Intact Male,1 month,Partner,Intact Male
A731958,2016-07-30,2016-08-02,Coco,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Intact Female,3 months,NA,Spayed Female
A706023,2015-06-23,2015-06-24,Sly,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Male,2 weeks,Partner,Intact Male
A714738,2018-01-20,2018-02-09,Zeus,Dog,American Bulldog Mix,Red,Adult,Adopted,Stray,Normal,Intact Male,6 years,Foster,Neutered Male
A695176,2015-01-10,2015-01-15,Lucy,Cat,Domestic Shorthair Mix,Mixed,Adult,Transferred,Owner Surrender,Normal,Spayed Female,3 years,Partner,Spayed Female
A663178,2015-08-01,2015-08-01,Choppa,Dog,American Pit Bull Terrier Mix,White,Young,Returned to Owner,Stray,Normal,Neutered Male,2 years,NA,Neutered Male
A716860,2015-11-27,2015-12-02,Kub,Dog,Beagle/Labrador Retriever,Mixed,Young,Adopted,Stray,Normal,Intact Male,1 year,NA,Neutered Male
A755562,2017-08-04,2017-08-14,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,2 months,Partner,Intact Male
A769635,2018-04-07,2018-04-07,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Returned to Owner,Public Assist,Nursing,Intact Female,0 years,NA,Intact Female
A750064,2017-05-23,2017-08-17,Bear Bear,Cat,Domestic Shorthair Mix,White,Baby,Deceased,Stray,Normal,Intact Male,4 weeks,At Vet,Neutered Male
A757715,2017-09-05,2017-09-06,Radar,Dog,Chihuahua Shorthair Mix,Brown,Adult,Returned to Owner,Stray,Normal,Spayed Female,8 years,NA,Spayed Female
A731369,2016-07-21,2016-07-21,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A692206,2014-11-16,2014-11-17,N/A,Cat,Domestic Medium Hair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A674174,2014-03-08,2014-03-08,N/A,Other,Skunk,Black,Young,Deceased,Wildlife,Sick,Unknown,1 year,Suffering,Unknown
A729751,2016-06-23,2016-07-09,Batman,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,1 month,Foster,Neutered Male
A794793,2019-05-12,2019-07-25,N/A,Cat,Domestic Shorthair,Black,Baby,Adopted,Stray,Normal,Intact Male,2 weeks,Foster,Neutered Male
A787015,2019-01-06,2019-01-08,N/A,Other,Snake,Brown,Young,Transferred,Public Assist,Normal,Unknown,2 years,Partner,Unknown
A703493,2015-05-25,2015-05-30,Trudy,Dog,Miniature Poodle Mix,White,Young,Adopted,Stray,Normal,Intact Female,1 year,NA,Spayed Female
A790141,2019-03-05,2019-04-13,Toby,Dog,German Shepherd/Great Pyrenees,White,Baby,Adopted,Stray,Normal,Intact Male,2 weeks,NA,Neutered Male
A723740,2016-04-05,2016-07-09,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,1 day,Foster,Neutered Male
A672668,2015-01-07,2015-01-15,Jasmine,Cat,Domestic Shorthair Mix,Mixed,Adult,Transferred,Owner Surrender,Normal,Spayed Female,8 years,Partner,Spayed Female
A682143,2014-06-24,2014-06-25,N/A,Cat,Domestic Shorthair Mix,Black,Adult,Transferred,Stray,Injured,Intact Male,6 years,SCRP,Intact Male
A759807,2017-10-07,2017-10-17,N/A,Cat,Domestic Shorthair Mix,Mixed,Adult,Transferred,Stray,Normal,Spayed Female,7 years,Partner,Spayed Female
A738024,2016-11-08,2016-11-08,Cleo,Dog,Miniature Poodle Mix,Cream,Young,Transferred,Owner Surrender,Normal,Intact Female,2 years,Partner,Intact Female
A750689,2017-06-01,2017-06-06,Tuna,Dog,Pit Bull,Mixed,Young,Returned to Owner,Public Assist,Normal,Neutered Male,2 years,NA,Neutered Male
A727373,2016-05-21,2016-06-07,Boomer,Cat,Domestic Shorthair Mix,Mixed,Adult,Transferred,Owner Surrender,Normal,Spayed Female,14 years,Partner,Spayed Female
A561226,2018-06-01,2018-06-11,Beaux,Dog,Labrador Retriever/Rottweiler,Black,Senior,Returned to Owner,Public Assist,Normal,Neutered Male,9 years,NA,Neutered Male
A665943,2013-10-24,2013-11-06,Twin,Cat,Siamese Mix,Mixed,Adult,Returned to Owner,Stray,Normal,Neutered Male,3 years,NA,Neutered Male
A795953,2019-05-26,2019-07-20,Tux,Cat,Domestic Shorthair,Black,Baby,Adopted,Stray,Normal,Intact Male,2 weeks,NA,Neutered Male
A795463,2019-05-20,2019-05-31,N/A,Dog,Pointer,Cream,Baby,Transferred,Owner Surrender,Normal,Intact Male,2 weeks,Partner,Intact Male
A772410,2018-05-19,2018-06-27,Flip,Dog,Pit Bull Mix,Cream,Young,Adopted,Stray,Normal,Intact Male,1 year,NA,Neutered Male
A775748,2018-07-04,2018-07-05,N/A,Dog,Pit Bull/Chihuahua Shorthair,Brown,Baby,Adopted,Owner Surrender,Normal,Intact Male,2 months,NA,Neutered Male
A727081,2016-05-18,2016-05-18,Bubby,Dog,Labrador Retriever Mix,Yellow,Young,Returned to Owner,Stray,Normal,Intact Male,12 years,NA,Intact Male
A694067,2014-12-19,2014-12-22,Skittles,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Spayed Female,8 months,NA,Spayed Female
A804693,2019-09-17,2019-10-06,Freya,Dog,Pointer Mix,White,Young,Transferred,Owner Surrender,Normal,Spayed Female,1 year,Partner,Spayed Female
A766854,2018-02-18,2018-02-23,Trent,Dog,Cairn Terrier Mix,Cream,Baby,Adopted,Stray,Normal,Intact Male,10 months,NA,Neutered Male
A777901,2018-08-05,2018-09-22,Percy,Dog,Border Collie Mix,White,Young,Adopted,Stray,Normal,Intact Male,1 year,NA,Neutered Male
A694681,2015-01-02,2015-01-25,Miss,Cat,Domestic Shorthair Mix,White,Baby,Adopted,Stray,Normal,Intact Female,1 month,Foster,Spayed Female
A668534,2013-12-04,2013-12-06,Wilson,Dog,Border Collie Mix,Mixed,Baby,Transferred,Public Assist,Sick,Intact Male,1 month,Partner,Intact Male
A716881,2015-11-27,2015-11-29,N/A,Cat,Domestic Shorthair Mix,Orange,Baby,Adopted,Owner Surrender,Normal,Intact Male,5 months,NA,Neutered Male
A761283,2018-10-03,2018-10-17,Jabba,Dog,Pit Bull Mix,Red,Young,Returned to Owner,Public Assist,Normal,Neutered Male,1 year,NA,Neutered Male
A806684,2019-10-14,2019-10-14,285 Grams,Cat,Domestic Shorthair,Black,Baby,Transferred,Stray,Normal,Intact Male,3 weeks,Partner,Intact Male
A679456,2014-05-27,2014-05-29,Kovu,Cat,Manx Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Intact Male,2 months,NA,Neutered Male
A731164,2016-07-17,2016-07-21,Fantasia,Cat,Siamese Mix,Mixed,Young,Transferred,Stray,Sick,Intact Female,2 years,Partner,Intact Female
A706838,2015-07-03,2015-07-04,N/A,Other,Turtle,Green,Baby,Adopted,Owner Surrender,Normal,Unknown,4 weeks,NA,Unknown
A739039,2016-11-26,2016-11-27,N/A,Other,Raccoon,Black,Young,Deceased,Wildlife,Sick,Unknown,2 years,Rabies Risk,Unknown
A785275,2018-11-29,2018-12-10,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Male,2 months,Partner,Intact Male
A743105,2017-02-03,2017-02-03,Captin,Dog,West Highland Mix,Brown,Baby,Returned to Owner,Stray,Aged,Neutered Male,10 years,NA,Neutered Male
A793887,2019-05-01,2019-05-13,Cholula,Dog,Boxer Mix,Brown,Young,Transferred,Owner Surrender,Normal,Intact Female,2 years,Partner,Intact Female
A708405,2015-07-27,2015-07-31,N/A,Dog,Pit Bull Mix,Gray,Baby,Transferred,Stray,Injured,Intact Male,5 months,Partner,Intact Male
A709872,2015-08-14,2015-08-21,Princess,Dog,Chihuahua Shorthair Mix,Red,Baby,Adopted,Owner Surrender,Normal,Intact Female,7 months,NA,Spayed Female
A726943,2016-05-16,2016-05-27,Frida,Dog,Catahoula Mix,White,Baby,Adopted,Owner Surrender,Normal,Intact Female,1 month,Foster,Spayed Female
A738159,2019-02-10,2019-03-21,Boo,Dog,Pit Bull Mix,Black,Adult,Transferred,Owner Surrender,Normal,Neutered Male,3 years,Partner,Neutered Male
A690022,2014-10-13,2015-01-20,Licorice,Cat,Domestic Shorthair,White,Baby,Adopted,Owner Surrender,Normal,Intact Male,4 weeks,NA,Neutered Male
A678965,2014-05-14,2014-05-14,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,3 weeks,Partner,Intact Female
A779776,2018-09-05,2018-09-09,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,3 months,NA,Spayed Female
A759456,2017-10-02,2017-10-06,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,4 months,Snr,Intact Male
A774161,2018-06-11,2018-06-11,Lola,Dog,Siberian Husky,Black,Baby,Returned to Owner,Stray,Normal,Intact Female,8 months,NA,Intact Female
A700657,2015-04-17,2015-04-22,N/A,Dog,Chihuahua Shorthair Mix,Brown,Young,Adopted,Stray,Normal,Intact Female,1 year,NA,Spayed Female
A732006,2016-10-14,2016-10-18,Peaches,Dog,Whippet Mix,White,Baby,Adopted,Stray,Normal,Intact Female,6 months,NA,Intact Female
A739444,2016-12-03,2016-12-27,Roo,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Intact Male,1 month,NA,Neutered Male
A683334,2014-07-09,2014-07-30,Pudding,Cat,Domestic Shorthair Mix,Mixed,Young,Transferred,Public Assist,Normal,Intact Female,1 year,Partner,Intact Female
A691908,2014-11-11,2014-12-24,Olive,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,3 weeks,Foster,Spayed Female
A685236,2014-08-04,2014-08-09,N/A,Dog,Cairn Terrier Mix,Cream,Baby,Adopted,Stray,Normal,Intact Female,5 months,NA,Spayed Female
A727569,2016-05-23,2016-05-30,N/A,Dog,Labrador Retriever Mix,Black,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A764774,2018-01-06,2018-01-11,N/A,Dog,Norfolk Terrier Mix,Cream,Young,Adopted,Stray,Normal,Intact Female,1 year,NA,Spayed Female
A786776,2019-01-01,2019-01-02,Sammie,Dog,Shiba Inu Mix,Red,Adult,Returned to Owner,Stray,Normal,Spayed Female,13 years,NA,Spayed Female
A772034,2018-05-13,2018-05-17,Mamas,Dog,Chihuahua Shorthair/Rat Terrier,Cream,Baby,Returned to Owner,Stray,Normal,Intact Female,7 months,NA,Spayed Female
A793076,2019-04-19,2019-05-13,Chayce,Dog,Pit Bull Mix,Brown,Young,Adopted,Stray,Normal,Intact Male,2 years,NA,Neutered Male
A726360,2016-05-10,2016-05-11,Fitz,Cat,Domestic Shorthair Mix,Black,Young,Returned to Owner,Owner Surrender,Normal,Neutered Male,2 years,NA,Neutered Male
A672598,2014-02-13,2014-02-21,Lola,Dog,Vizsla/Golden Retriever,Red,Baby,Adopted,Stray,Normal,Intact Female,5 months,NA,Spayed Female
A734460,2016-09-06,2017-01-24,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,1 month,Foster,Spayed Female
A714299,2015-10-21,2015-10-22,Hunter,Dog,Australian Cattle Dog,Black,Young,Returned to Owner,Stray,Normal,Intact Male,2 years,NA,Neutered Male
A745102,2017-03-13,2017-03-20,King,Dog,Pit Bull Mix,White,Baby,Transferred,Stray,Normal,Intact Male,4 months,Partner,Neutered Male
A705390,2015-06-16,2015-06-23,Baby Girl,Dog,Staffordshire Mix,Cream,Young,Returned to Owner,Public Assist,Normal,Intact Female,2 years,NA,Spayed Female
A808509,2019-11-09,2019-11-15,Blair,Dog,German Shepherd,Brown,Senior,Returned to Owner,Stray,Normal,Spayed Female,9 years,NA,Spayed Female
A673713,2014-02-28,2014-03-01,N/A,Other,Bat,Brown,Baby,Deceased,Wildlife,Normal,Unknown,4 weeks,Rabies Risk,Unknown
A754109,2017-07-15,2017-07-18,Sammie,Dog,Australian Shepherd Mix,Black,Adult,Transferred,Owner Surrender,Normal,Intact Male,4 years,Partner,Intact Male
A780820,2018-09-20,2018-09-24,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,6 months,Snr,Intact Female
A650098,2019-11-18,2019-11-19,Chico,Dog,Chihuahua Shorthair,Red,Adult,Returned to Owner,Stray,Normal,Intact Male,8 years,NA,Intact Male
A742902,2017-01-30,2017-02-03,Lola,Dog,Miniature Poodle Mix,Gray,Adult,Adopted,Stray,Normal,Intact Female,4 years,NA,Spayed Female
A696715,2015-05-31,2015-06-07,Dudley,Dog,Chihuahua Shorthair Mix,Yellow,Young,Adopted,Owner Surrender,Normal,Neutered Male,2 years,NA,Neutered Male
A749888,2019-04-28,2019-05-11,Charlie,Cat,Domestic Shorthair Mix,Black,Young,Adopted,Owner Surrender,Normal,Neutered Male,2 years,NA,Neutered Male
A727433,2016-05-22,2016-05-22,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Female,2 weeks,Partner,Intact Female
A735388,2016-09-23,2016-11-14,Flint,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Owner Surrender,Normal,Intact Male,6 months,Partner,Neutered Male
A770783,2018-04-25,2018-07-16,Spike,Dog,Staffordshire Mix,White,Baby,Adopted,Stray,Nursing,Intact Male,0 years,NA,Neutered Male
A759034,2017-09-25,2017-09-26,N/A,Dog,Yorkshire Terrier Mix,Black,Baby,Transferred,Owner Surrender,Normal,Intact Female,3 weeks,Partner,Intact Female
A743533,2017-02-12,2017-02-20,Humphrey,Dog,Australian Kelpie Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,10 months,NA,Neutered Male
A773318,2018-05-30,2018-06-03,Rain,Dog,Australian Shepherd Mix,White,Baby,Adopted,Stray,Normal,Intact Female,7 months,NA,Spayed Female
A696540,2015-02-06,2015-04-13,Robbie,Dog,Pit Bull Mix,Brown,Adult,Deceased,Stray,Normal,Intact Male,5 years,Suffering,Neutered Male
A770309,2018-04-17,2018-08-27,Bisbee,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,0 years,Foster,Neutered Male
A746972,2017-04-11,2017-04-15,Patsy,Dog,Chihuahua Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,10 years,NA,Intact Female
A664838,2013-10-09,2013-10-09,N/A,Cat,Siamese Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,2 weeks,Partner,Intact Male
A735895,2016-10-01,2016-10-07,Puppers,Dog,German Shepherd Mix,Cream,Baby,Adopted,Stray,Normal,Intact Male,3 months,NA,Neutered Male
A701798,2015-05-04,2015-05-05,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A755802,2017-08-09,2017-10-14,Sony,Dog,Labrador Retriever Mix,White,Adult,Transferred,Owner Surrender,Normal,Intact Male,3 years,Partner,Neutered Male
A721278,2016-02-24,2016-02-25,Pinky,Dog,Chihuahua Shorthair Mix,White,Young,Returned to Owner,Stray,Normal,Intact Male,2 years,NA,Intact Male
A709242,2015-08-06,2015-08-06,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Unknown,2 weeks,Partner,Unknown
A677710,2014-04-28,2014-05-04,Teddy,Dog,English Coonhound Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,6 months,NA,Neutered Male
A715053,2015-10-30,2015-11-02,Charlie,Dog,Siberian Husky Mix,Gray,Young,Returned to Owner,Stray,Normal,Intact Female,1 year,NA,Spayed Female
A773239,2018-05-29,2018-06-09,N/A,Cat,Domestic Medium Hair Mix,Cream,Young,Transferred,Stray,Normal,Neutered Male,1 year,Snr,Neutered Male
A680524,2014-06-03,2014-07-10,Sadie,Dog,Pit Bull Mix,Cream,Adult,Transferred,Stray,Normal,Spayed Female,8 years,Partner,Spayed Female
A686943,2014-08-29,2014-09-02,Bear,Dog,Lhasa Apso Mix,White,Adult,Transferred,Stray,Normal,Intact Male,3 years,Partner,Intact Male
A749080,2017-05-10,2017-05-11,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A792346,2019-04-09,2019-04-10,N/A,Dog,Pit Bull Mix,White,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A709475,2015-08-09,2015-08-11,N/A,Dog,Pit Bull Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,1 month,Partner,Intact Male
A693028,2014-11-30,2015-01-09,Emma,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,1 month,Foster,Spayed Female
A741024,2017-02-02,2017-06-20,Allie,Dog,Pit Bull Mix,White,Young,Adopted,Owner Surrender,Normal,Spayed Female,2 years,Foster,Spayed Female
A793008,2019-04-18,2019-04-30,Novak,Dog,Black Mouth Cur Mix,Cream,Young,Transferred,Stray,Normal,Intact Male,1 year,Partner,Neutered Male
A665992,2013-10-25,2013-12-09,Ollie,Dog,Pit Bull Mix,Brown,Adult,Transferred,Stray,Normal,Intact Male,3 years,Partner,Neutered Male
A790987,2019-03-19,2019-03-26,Fitz,Dog,Australian Cattle Dog Mix,Mixed,Young,Adopted,Stray,Normal,Intact Male,1 year,NA,Neutered Male
A745657,2017-03-21,2017-03-25,N/A,Dog,Yorkshire Terrier Mix,Cream,Adult,Adopted,Stray,Normal,Spayed Female,7 years,NA,Spayed Female
A745362,2017-03-24,2017-03-24,Hopper,Dog,Toy Poodle,Cream,Adult,Transferred,Owner Surrender,Normal,Spayed Female,6 years,Partner,Spayed Female
A701333,2015-04-27,2015-04-27,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Unknown,3 days,Partner,Unknown
A707198,2015-07-09,2015-07-13,N/A,Dog,Australian Shepherd/Dachshund,Brown,Baby,Adopted,Stray,Normal,Intact Male,4 months,NA,Neutered Male
A732997,2016-08-15,2016-08-16,N/A,Other,Bat,Brown,Young,Deceased,Wildlife,Normal,Unknown,1 year,Rabies Risk,Unknown
A684454,2014-07-23,2014-09-02,Lovey,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,1 month,NA,Spayed Female
A762953,2017-11-30,2017-12-01,N/A,Dog,Labrador Retriever Mix,Black,Baby,Transferred,Stray,Nursing,Intact Male,3 weeks,Partner,Intact Male
A751108,2017-06-04,2017-06-04,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Unknown,3 weeks,Partner,Unknown
A668217,2013-11-30,2013-12-04,N/A,Cat,Domestic Shorthair Mix,Gray,Baby,Adopted,Stray,Normal,Intact Female,1 month,NA,Spayed Female
A796237,2019-05-30,2019-08-21,Eva,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,4 weeks,Foster,Spayed Female
A795634,2019-05-22,2019-06-23,Weasel,Cat,Domestic Shorthair,Cream,Baby,Adopted,Stray,Sick,Intact Male,4 weeks,NA,Neutered Male
A701207,2015-04-25,2015-04-25,N/A,Cat,Domestic Shorthair Mix,Orange,Baby,Transferred,Stray,Normal,Unknown,2 weeks,Partner,Unknown
A800452,2019-07-21,2019-07-25,Sugar Momma,Dog,Chihuahua Shorthair,Cream,Senior,Adopted,Stray,Normal,Spayed Female,9 years,NA,Spayed Female
A754754,2018-03-25,2018-04-25,Enzo,Dog,Yorkshire Terrier Mix,Brown,Baby,Adopted,Stray,Normal,Neutered Male,10 years,Foster,Neutered Male
A717527,2015-12-09,2016-01-14,Lily,Cat,Domestic Shorthair Mix,Mixed,Adult,Adopted,Owner Surrender,Normal,Spayed Female,3 years,NA,Spayed Female
A767504,2018-03-06,2018-03-13,Carlos,Dog,Pit Bull Mix,Mixed,Young,Returned to Owner,Public Assist,Normal,Intact Male,1 year,NA,Neutered Male
A719498,2016-01-21,2016-01-22,Charlotte,Dog,Shih Tzu Mix,White,Baby,Transferred,Owner Surrender,Normal,Intact Female,1 month,Partner,Intact Female
A669960,2013-12-31,2014-01-07,Fiona,Dog,Pit Bull Mix,Brown,Adult,Deceased,Stray,Normal,Intact Female,3 years,Aggressive,Intact Female
A756610,2017-08-23,2017-08-24,N/A,Other,Guinea Pig,Brown,Young,Transferred,Stray,Normal,Unknown,1 year,Partner,Unknown
A672918,2014-02-18,2014-03-21,Trinity,Cat,Domestic Shorthair Mix,Mixed,Young,Adopted,Stray,Injured,Intact Female,1 year,NA,Spayed Female
A686773,2014-08-26,2014-08-28,Copper,Dog,Black/Tan Hound Mix,Black,Baby,Returned to Owner,Stray,Normal,Intact Male,7 months,NA,Neutered Male
