id,date_in,date_out,name,type,breed,color,age_out,outcome_type,intake_type,intake_condition,sex_upon_intake,age_in,outcome_subtype,sex_upon_outcome
A665937,2013-10-24,2013-12-23,Rusty,Cat,Domestic Shorthair Mix,Orange,Young,Adopted,Stray,Normal,Intact Male,2 years,NA,Neutered Male
A799520,2019-07-09,2019-07-11,N/A,Other,Guinea Pig,Black,Young,Transferred,Stray,Normal,Unknown,1 year,Partner,Unknown
A701161,2015-04-28,2015-08-19,Annabelle,Cat,Domestic Shorthair Mix,Mixed,Adult,Deceased,Owner Surrender,Normal,Spayed Female,13 years,Suffering,Spayed Female
A754668,2017-07-22,2017-09-16,Mouse,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Sick,Intact Female,3 weeks,Offsite,Spayed Female
A776047,2019-07-01,2019-07-17,Zoey,Dog,Pit Bull Mix,Black,Adult,Adopted,Owner Surrender,Normal,Spayed Female,2 years,NA,Spayed Female
A723219,2016-03-28,2016-04-12,Wren,Dog,Labrador Retriever Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,1 month,Foster,Spayed Female
A754607,2019-09-28,2019-10-08,Rocky,Dog,Labrador Retriever Mix,Black,Young,Returned to Owner,Owner Surrender,Normal,Neutered Male,2 years,NA,Neutered Male
A739584,2016-12-04,2016-12-06,N/A,Dog,Labrador Retriever Mix,Black,Baby,Transferred,Stray,Normal,Intact Male,1 month,Partner,Intact Male
A684623,2014-07-26,2014-07-29,Honey,Dog,Australian Cattle Dog Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,4 months,NA,Spayed Female
A739429,2016-12-03,2016-12-06,Princess,Dog,Pit Bull Mix,Black,Adult,Returned to Owner,Stray,Other,Intact Female,5 years,NA,Intact Female
A739080,2016-11-27,2016-12-01,Coco,Dog,Miniature Poodle Mix,White,Young,Returned to Owner,Stray,Normal,Intact Female,11 months,NA,Spayed Female
A807729,2019-10-28,2019-11-04,Toby,Dog,Great Dane/Pointer,Black,Baby,Adopted,Owner Surrender,Normal,Intact Male,7 months,NA,Neutered Male
A670486,2014-01-09,2014-01-11,N/A,Cat,Domestic Longhair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Male,2 years,SCRP,Intact Male
A778108,2018-08-08,2018-08-12,Rita,Dog,Chihuahua Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Female,1 month,NA,Spayed Female
A797713,2019-06-17,2019-06-17,N/A,Cat,Domestic Shorthair,Mixed,Baby,Deceased,Stray,Nursing,Unknown,2 days,Suffering,Unknown
A723108,2016-03-26,2016-03-31,N/A,Cat,Domestic Shorthair Mix,Mixed,Adult,Deceased,Stray,Normal,Intact Female,5 years,Suffering,Intact Female
A773776,2018-06-05,2018-06-11,N/A,Dog,Black/Tan Hound Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,4 months,NA,Neutered Male
A688948,2014-09-26,2014-09-27,Molly,Dog,Dachshund Mix,Mixed,Adult,Returned to Owner,Stray,Normal,Spayed Female,6 years,NA,Spayed Female
A770849,2018-04-26,2018-04-26,N/A,Dog,Border Terrier,Brown,Young,Deceased,Stray,Injured,Intact Male,2 years,Enroute,Intact Male
A783783,2018-11-06,2018-12-06,Moose,Dog,Chihuahua Shorthair Mix,Cream,Baby,Adopted,Stray,Normal,Intact Female,6 months,Foster,Spayed Female
A811016,2019-12-26,NA,Tiffany,Dog,Labrador Retriever,White,N/A,In Shelter,Owner Surrender,Normal,Intact Female,1 year,NA,NA
A670121,2014-01-02,2014-01-06,Hersheys,Dog,Pit Bull Mix,Brown,Baby,Adopted,Stray,Normal,Intact Male,2 months,NA,Neutered Male
A678743,2014-05-12,2014-05-12,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,3 weeks,Partner,Intact Female
A732918,2016-08-14,2016-08-14,N/A,Cat,Domestic Shorthair Mix,Orange,Young,Deceased,Stray,Injured,Intact Male,2 years,Suffering,Intact Male
A805077,2019-09-22,2019-10-14,Elena,Cat,Domestic Medium Hair,Mixed,Baby,Adopted,Stray,Normal,Intact Female,2 months,NA,Spayed Female
A729569,2016-06-20,2016-06-20,Picnik,Dog,Boxer Mix,Cream,Adult,Returned to Owner,Stray,Normal,Spayed Female,3 years,NA,Spayed Female
A701512,2015-04-30,2015-06-06,Hocus,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,3 weeks,NA,Intact Male
A799905,2019-07-13,2019-08-07,Duchess,Dog,Pit Bull,Gray,Adult,Adopted,Owner Surrender,Normal,Spayed Female,8 years,NA,Spayed Female
A748122,2017-04-29,2017-05-07,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Other,Intact Female,3 weeks,Partner,Intact Female
A691642,2014-11-07,2014-11-14,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Male,3 weeks,Partner,Intact Male
